Trait,Value,Value_Others
Neutral,0.0,1.2
Calm,0.0,1.5846153846153845
Happy,21.0,23.49230769230769
Sad,2.0,5.030769230769231
Angry,48.0,26.50769230769231
Fearful,18.0,23.984615384615385
Disgust,6.0,8.107692307692307
Surprise,5.0,9.676923076923076
